headline,sentiment,words
Factbox: 'Midnight in Washington'-Quotes From Trump's Impeachment Trial,neutral,8
Iowa's Anger Over Trump's Ethanol Policy Gives Democrats Opening,negative,9
Pelosi Tears Up Trump's Speech to Congress as Impeachment Trial Nears End,negative,12
"As Democrats Fight for Iowa, Bloomberg Makes a Play for Delegate-Rich California",neutral,12
Democrats Condemn Trump at Trial as Threat to American Democracy,negative,10
What to Expect Ahead of Trump’s State of the Union Address,neutral,11
Amy Klobuchar’s Caucus-Day in Iowa Visit Pays Off,positive,8
Pelosi Says Democrats Have ‘Pulled Back a Veil’ on Trump’s ‘Unacceptable’ Behavior,negative,12
Trump or Obama? Lawmakers Fight Over SC Interchange Name,neutral,9
America Has Had a Year to Learn How to Say Buttigieg. And Yet.,neutral,13
"Trump, Bloomberg Trade Schoolyard Taunts as Spending War Heats Up",negative,10
Black Democratic Group Co-Chair Endorses Steyer in South Carolina,neutral,9
Billionaire U.S. Candidate Bloomberg Floats Plan to Tax Rich People 'Like Me',neutral,12
Joe Walsh Also Wants to Beat Donald Trump,neutral,8
The Latest: Warren Assures Supporters a Woman Can Win,negative,9
Trump Speech to Project Optimism at Time of Bitter Division,positive,10
Trump Impeachment: What Happens Next?,neutral,5
"Echoing His Campaign Pitch, Trump Will Focus on Economic Boom in Annual Speech",positive,13
Democrats Announce New Debate Rules Likely to Allow Bloomberg to Join,positive,11
Democrat Michael Bloomberg Spent $200 Million of Own Wealth on Presidential Bid in 2019,neutral,14
Warren Raises 'Significant Concerns' in Letter to Trump's Fed Pick Shelton,neutral,11
Warren Raises 'Significant Concerns' in Letter to Trump's Fed Pick Shelton,neutral,11
Biden Slams Trump for Cutting Health Programs Before Coronavirus Outbreak,negative,10
Emails Show the Fallout From Trump's Claims About Dorian,negative,9
Analysis: GOP Sends Message That Trump’s Actions Were OK,positive,9
Bloomberg Proposes $5 Trillion in Taxes on the Rich and Corporations,neutral,11
Democratic Candidates Focus on All-Consuming Hunger to Unseat Trump,negative,9
Trump State of the Union Won't Be 1st Delivered Amid Turmoil,neutral,11
Billionaire Bloomberg Floods Democratic Primary With Cash,negative,7
"Clinton Jabs Again at Sanders, Says He Didn't Unite Party",negative,10
"Once Skeptical, Senate Republicans Are All In on Trump",positive,9
Biden Cash Reserves Lag Behind Top 2020 Rivals,neutral,8
"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",neutral,10
Biden Camp Prepping Backers for Extended Fight Beyond Iowa,neutral,9
Former White House Counsel Says Trump Thinks Differently,neutral,8
GOP Senators Seek to Acquit Trump Without Condoning Conduct,neutral,9
Trump Administration Adds Six Countries to Travel Ban,negative,8
Bloomberg Fueled His Campaign With $200 Million From His Own Fortune,neutral,11
"Trump Told Bolton to Help His Ukraine Pressure Campaign, Book Says",negative,11
Bernie Sanders’s Surge Owes a Lot to Voters of Color,negative,10
Biden: Sanders 'Changed His Mind' on Gun Policies,neutral,8
Good Economy May Mask Trump Vulnerability in Key States: Study,negative,10
"Bloomberg Tackles Gun Violence, Trump Touts Victories in Super Bowl Ads",positive,11
"Bloomberg Tackles Gun Violence, Trump Touts Victories in Super Bowl Ads",negative,11
"Trump Mocks Democrats, Revives Border Wall Promise in Iowa Campaign Speech",neutral,11
A Second Video Shows Trump With Former Ukraine Fixer Lev Parnas,neutral,11
"In Iowa's Small Black Community, Little Love for the Caucuses or Joe Biden",negative,13
Republican Senators to Watch in Battle Over Trump Impeachment Trial Witnesses,neutral,11
McConnell's Democratic Rival McGrath Endorses Biden for 2020,positive,8
Movin' on Up: Bloomberg Glides Past Warren to No. 3 in Democratic Race-Reuters/Ipsos Poll,negative,14
Buttigieg Courts 'Future Former Republicans' to Expand Vote,neutral,8
Trump Signs Order Creating Post Focused on Human Trafficking,neutral,9
Trump Lawyer’s Impeachment Argument Stokes Fears of Unfettered Power,negative,9
Trump Travels to Iowa to Energize Supporters for Caucuses Next Week,neutral,11
Note-Passing and Power: Moderates Team Up at Trump Trial,neutral,9
Exclusive: Utah Sen. Mike Lee thankful for Trump plan to allow use of lands previously designated as monuments,positive,18
Feeling the Bern: New Hampshire narrowly goes for Sanders,positive,9
Trump: Don't want to say yet whether I'd pardon Roger Stone,neutral,11
"Biden campaign says race isn't over, turns focus to South Carolina and Nevada",neutral,13
"Booming economy, Trump immigration crackdown create labor shortage in construction industry",negative,11
2020 Democrats in growing battle over who can defeat President Trump,neutral,11
Deval Patrick drops out of presidential race,neutral,7
"Howard Kurtz: Media spotlight on Klobuchar, despite Sanders winning in New Hampshire primary",neutral,13
President Trump congratulates Attorney General Barr for taking control of Roger Stone case,positive,13
Baier on Biden’s decision to leave New Hampshire early to rally in South Carolina,neutral,14
Progressive platform fuels Bernie Sanders' victory in New Hampshire,positive,9
President Trump victorious in New Hampshire primary,positive,7
Cuomo to meet with Trump over Trusted Traveler Program enrollment ban for New Yorkers,neutral,14
"Sanders, Buttigieg and Klobuchar look to seize momentum from New Hampshire results",neutral,12
"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",neutral,15
"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",positive,15
"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",neutral,15
Joe Scarborough says Trump is a 'would-be dictator' who wants to arrest journalists,negative,13
"Trump doubles Obama's 2012 vote total in New Hampshire, signaling fired up base",positive,13
"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",neutral,11
"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",positive,11
"Biden finishes 5th in New Hampshire primary, says ‘It ain’t over’",neutral,11
What might be Andrew Yang's next move?,neutral,7
Is Sanders really the candidate Democrats can rally behind?,negative,9
How does Trump plan to win the state of New Hampshire in the general election?,neutral,15
What would a brokered Democratic convention mean for Trump?,neutral,9
Will an 'outsider candidate' stand the best chance against President Trump in 2020?,neutral,13
"Sanders edges out Buttigieg to win New Hampshire, as Klobuchar surges to third",neutral,13
Biden finishes fifth in New Hampshire primary,negative,7
Trump trolls Democrats with rally on eve of New Hampshire primary,neutral,11
Buttigieg calls for Dem unity following strong showing in New Hampshire primary,positive,12
"Biden, Warren won’t get any delegates from New Hampshire",negative,9
Joe Biden speaks at a kick off rally for his South Carolina campaign,neutral,13
"Trump mocks 'Pocahontas' Warren, 'Impeachment King' Steyer after poor showing in New Hampshire",negative,13
How will New Hampshire play out for President Trump?,neutral,9
Trump taunts Roger Stone prosecutors who 'cut and ran' from case,negative,11
Klobuchar gives proud speech after strong New Hampshire showing: 'Beaten the odds every step of the way',neutral,17
Trump pulls former US attorney Jessie Liu’s nomination for Treasury role,neutral,11
"Michael Bennet drops out of 2020 presidential race, after New Hampshire primary",negative,12
Trump easily wins New Hampshire Republican primary,positive,7
Andrew Yang: We accelerated the eradication of poverty,positive,8
Buttigieg surrogate on campaign momentum from Iowa to New Hampshire,neutral,10
Trump tries to steal Democrats' thunder in New Hampshire,negative,9
Lewandowski: Tonight is going to be a big night for Sanders and Buttigieg,positive,13
Wallace: I think Joe Biden is in serious trouble,negative,9
Yang: Our goal is to finish top 4 in New Hampshire,neutral,11
Trump calls Romney a ‘disgrace’ for impeachment vote,negative,8
"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",neutral,8
"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",neutral,8
Trump Administration Expected to Loosen Military’s Limits on Land Mines,neutral,10
Bernie Sanders Is Still Sad About the Dodgers,neutral,8
"Buttigieg Sharpens Biden, Sanders Attacks as Caucuses Near",negative,8
"Buttigieg Sharpens Biden, Sanders Attacks as Caucuses Near",positive,8
How Iowa Could Decide Joe Biden’s Fund-Raising Future,neutral,8
Pompeo Plays Clean-Up in Ukraine as Trump Trial Nears End,neutral,10
‘I’m a Democrat’: Biden Accuses Sanders of Not Being a Party Member,neutral,12
"Bloomberg Backed by DC Mayor, Biden Endorsed by Richmond's",neutral,9
"Aiming at Trump, Biden Says a President's Character Matters",negative,9
"Postal Workers Union With 200,000 Members Endorses Sanders",positive,8
"Bloomberg, Trump Detail Campaign Ads to Air on Super Bowl",neutral,10
Trump: Justice Department corrected 'horribleness' of Stone sentencing,neutral,8
Elizabeth Warren under fire for saying she accepted broke college student's 'last few dollars' for her campaign,negative,17
Biden Under Pressure to Prove He Can Thwart New GOP Attacks,negative,11
"As Other Democrats Feud, Bloomberg Hammers Trump on Health Care",positive,10
Biden Aides Weigh Pursuing an Iowa Caucus Alliance With Klobuchar,negative,10
"At Rally, Trump Praises Van Drew for Leaving ‘Deranged’ Democratic Party",neutral,11
"On the Day Democrats Vote in Iowa, Trump Plans to Flood the Zone",neutral,13
Bolton Book Puts New Focus on Trump’s Actions in Turkey and China Cases,neutral,13
Joni Ernst Asks if Impeachment Trial Will Turn Iowa Caucusgoers Against Biden. They Answer.,neutral,14
On Politics: A Sanders Scenario,neutral,5
How People of Color Inside the Buttigieg Campaign Sought to Be Heard,neutral,12
A Primary From the Right? Not in Trump’s G.O.P.,neutral,9
"Bolton Was Concerned That Trump Did Favors for Autocratic Leaders, Book Says",negative,12
How Pete Buttigieg Tailors His Message to Black and White Voters,neutral,11
"Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",negative,10
"Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",negative,10
"John Bolton’s Account Upends Trump’s Denials, but Will It Upend Trump?",neutral,11
Bernie Sanders and His Internet Army,neutral,6
5 Takeaways on Trump and Ukraine From John Bolton’s Book,neutral,10
Tape Made Public of Trump Discussing Ukraine With Donors,neutral,9
Cities Prepare for the Worst as Trump’s Food Stamp Cuts Near,negative,11
"Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election",neutral,11
Who are Trump's Impeachment Defense Lawyers,neutral,6
What to Watch For in Trump’s Impeachment Trial on Saturday,neutral,10
"Sanders, Biden, Clinton? This Week in the 2020 Race",neutral,9
Trump Tries to Upstage Drama in the Senate With His Own Programming,negative,12
Lev Parnas Says He Has Recording of Trump Calling for Ambassador’s Firing,neutral,12
Why a Joe Rogan Endorsement Could Help (or Backfire on) Bernie Sanders,neutral,12
"Trump Gives Speech at 2020 March for Life Rally in Washington, D.C.",positive,12
What to Watch For in Trump’s Impeachment Trial on Friday,neutral,10
Now Testifying for the Prosecution: President Trump,neutral,7
Kamala Harris Is Said to Be Weighing an Endorsement of Joe Biden,positive,12
"Seeing a Bloomberg Ad on Fox News, Trump Takes the Bait",negative,11
Tom Steyer Exaggerates Fossil Fuel Divestment,negative,6
What to Watch For in the Trump Impeachment Trial,neutral,9
‘Where Is Kevin?’ McCarthy Finds a Place in the Trump Camp,neutral,11
Why Bernie Sanders Went on the Attack Against Joe Biden,neutral,10
Trump Impeachment Trial: Live Updates,neutral,5
Pete Buttigieg Once Led in Iowa. Can He Get His Groove Back?,neutral,12
Trump Considering an Expansion of His 2017 Travel Ban,neutral,9
Barr Once Contradicted Trump’s Claim That Abuse of Power Is Not Impeachable,neutral,12
Sanders Apologizes to Biden for Surrogate’s Critique,neutral,7
‘Constitutional Nonsense’: Trump’s Impeachment Defense Defies Legal Consensus,neutral,8
McConnell Pushes to Speed Impeachment Trial as Trump Requests Swift Acquittal,neutral,11
Biden and Sanders Clash Over Social Security,neutral,7
Sanders and Warren Try to Tone Down Rift. Some of Their Supporters Seem Less Willing.,neutral,15
Sanders and Warren Try to Tone Down Rift. Some of Their Supporters Seem Less Willing.,neutral,15
Sanders vs. Warren: This Week in the 2020 Race,neutral,9
Impeachment Briefing: Team Trump,neutral,4
"How Trump Is Spreading a Conspiracy Theory About Pelosi, Biden and Sanders",negative,12
"How Trump Is Spreading a Conspiracy Theory About Pelosi, Biden and Sanders",negative,12
"Jane Raskin, Who Helped Trump in Mueller Inquiry, Joins President’s Defense Team",neutral,12
Pat Cipollone: White House Counsel Who Will Help Lead Trump Legal Team,neutral,12
"In Jay Sekulow, Trump Taps Longtime Loyalist for Impeachment Defense",negative,10
"Joe Biden’s Poll Numbers Are Steady, but Are They Immovable?",neutral,10
California Governor Wants Truce With Trump in Homelessness Fight,neutral,9
"Angry Trump Says Focus Should Be on a Trade Deal, Not a ‘Hoax’",negative,13
"Sanders-Warren: An Alliance, if Not a Close Friendship, Suddenly Fractures",neutral,10
Senate Opens Trump Impeachment Trial as New Ukraine Revelations Emerge,negative,10
Key Moments as Trump’s Impeachment Trial Formally Begins,neutral,8
G.A.O. Report Says Trump Administration Broke Law in Withholding Ukraine Aid,negative,11
Trump Falsely Calls China Trade Agreement ‘Biggest Deal There Is’,negative,10
Elizabeth Warren Confronts the Skeptics Who Fear Her Plans Go Too Far,positive,12
"Warren Told Sanders After Debate, ‘I Think You Called Me a Liar on National TV’",negative,15
Judge Halts Trump Policy That Allows States to Bar Refugees,negative,10
Warren and Sanders Seemed to Calm Things. Then the Debate Ended.,positive,11
"Trump, Like Obama, Seeks Change in Iran. But He Differs in How to Do It.",neutral,15
"Senate Has Votes to Pass Limits on Trump’s Iran War Power, Likely Drawing a Veto",neutral,15
An Ad From Bernie Sanders Invokes J.F.K.,negative,7
Documents Provide New Details of Trump’s Pressure Campaign on Ukraine,neutral,10
Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,neutral,12
Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,neutral,12
Bernie Sanders Says He’d Consider Releasing List of Supreme Court Picks,neutral,11
The Trump Administration’s Fluctuating Explanations for the Suleimani Strike,negative,9
Joe Biden’s Vote for War,negative,5
"Trump, Shifting Arguments, Urges Swift Dismissal of Impeachment Charges",neutral,9
Judge Judy Has Issued Her Decision: She Likes Michael Bloomberg,positive,10
Trump Took Credit for Lower Cancer Death Rates. Advocates Say Not So Fast.,negative,13
"Former Marine Posed as Security Member for Trump’s Marine One, Officials Say",neutral,12
Logjam Over Impeachment Trial Leaves Trump Prosecutors Little Time to Prepare,neutral,11
Sanders and Biden Look for Dominance in Early States,neutral,9
"F.B.I. Apologizes to Court for Botching Surveillance of Trump Adviser, and Pledges Fixes",neutral,13
"Texas Governor Shuts State to Refugees, Using New Power Granted by Trump",neutral,12
Why Pete Buttigieg Has Made Religion Central to His Campaign,neutral,10
How the Public Feels About Trump’s Iran Strategy,negative,8
He Was Cruising in a G.O.P. Primary. Then Trump Endorsed an Ex-Democrat.,neutral,12
Twin Court Rulings Buoy Construction of Trump’s Border Wall,neutral,9
Competing for Sanders’s New Hampshire Voters: Yang and Gabbard,negative,9
Competing for Sanders’s New Hampshire Voters: Yang and Gabbard,neutral,9
Trump Claims Iranians Were Plotting to Blow Up American Embassy,neutral,10
Around the Country in 17 Hours With Michael Bloomberg,neutral,9
The Trump Doctrine Tests the G.O.P.,neutral,6
Pelosi Announces Vote to Limit Trump’s War-Making Power Against Iran,negative,10
Full Transcript: President Trump’s Address on Iran,neutral,7
A Strategy for the Mideast That Has Even Trump’s Allies Scratching Their Heads,negative,13
Connecticut Man Admits He Threatened to Kill President Trump,negative,9
"Pressed for Details on Suleimani Strike, Trump Administration Gives Few",negative,10
Donor to Trump Inauguration Charged With Obstructing Investigation,negative,8
"Days After Suleimani Killing, Trump Campaign Promotes It on Facebook",negative,10
"Joe Biden, Seeking Commander-in-Chief Moment, Denounces Trump’s Iran Escalation",negative,9
Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,neutral,11
Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,neutral,11
"Deval Patrick Hopes for an Unlikely Surge, but for Many, ‘It’s Awfully Late’",negative,13
Julián Castro Endorses Elizabeth Warren for President,positive,7
Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,positive,13
Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,neutral,13
"For Trump, the Burden May Be Proving This Is Not the Moment His Critics Predicted",negative,15
"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More",negative,10
"As Tensions With Iran Escalated, Trump Opted for Most Extreme Measure",neutral,11
White House Withholds 20 Emails Between Two Trump Aides on Ukraine Aid,negative,12
"Impeachment Impasse Deepens in Senate, Leaving Trump’s Trial in Doubt",neutral,10
Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,neutral,12
Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,neutral,10
Dizzying Day for Trump Caps a Year Full of Them,neutral,10
Firings at Trump Property Cap Year of Purging Undocumented Workers,negative,10
Trump Says U.S. and China Will Sign Trade Deal in January,neutral,11
"Bernie Sanders Is in ‘Good Health,’ His Doctors Say",positive,9
"A Biden-G.O.P. Ticket? He’s Open to It, but Doesn’t See Options",neutral,11
"Joe Biden Says He Would Comply With a Senate Subpoena, Reversing Course",neutral,12
Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond,neutral,13
Why Bernie Sanders Is Tough to Beat,positive,7
The ‘But I Would Vote for Joe Biden’ Republicans,neutral,9
How Bernie Sanders Learned to Love Campaigning in California,positive,9
Klobuchar Is Banking on Iowa Moderates. Her Problem: So Is Buttigieg.,neutral,11
Trump Largely Ignores Impeachment as He Rallies Young Conservatives,neutral,9
Trump to Give State of the Union Address Feb. 4,neutral,10
Sarah Huckabee Sanders Apologizes for Mocking Biden’s Remarks on Stuttering,neutral,10
Who’s Best to Beat Trump? 7 Answers When 7 Democrats Debate,neutral,11
Buttigieg and Warren Clash Over ‘Wine Cave’ Fund-Raiser,negative,8
"After Impeachment, an Angry Trump Looks to Voters for Vindication",negative,10
How a Trump Trade Deal Won Over Democrats,positive,8
Debbie Dingell Gets Support From Another Widow Whose Husband Trump Has Mocked: Cindy McCain,negative,14
Elizabeth Warren to Meet With Native American Leaders in Oklahoma,positive,10
Trump Impeachment Trial in Doubt as Democrats Weigh Withholding Articles,positive,10
"Andrew Yang Is Onstage, but Offstage, Asian-Americans Wonder Where They Fit In",neutral,12
Timing of Trump Impeachment Trial in Limbo as Pelosi Holds Out for Assurances,neutral,13
"Where Impeachment Crosses Party Lines, but Fixates on Trump",neutral,9
Trump Administration Proposes Adding Minor Crimes to List of Offenses That Bar Asylum,negative,13
Pete Buttigieg Quit Playing Nice. Will He Pay for It at the Debate?,negative,13
Trump Impeachment Vote Schedule: What to Expect,neutral,7
Trump Diatribe Belittles Impeachment as ‘Attempted Coup’ on Eve of Votes,neutral,11
Sanders and Buttigieg in tight race for delegates,neutral,8
Sanders and Buttigieg in tight race for delegates,neutral,8
Trump budget proposal draws partisan ire,negative,6
Sanders narrowly defeats Buttigieg in New Hampshire,neutral,7
Why isn't Sen. Bernie Sanders taking a stand against Venezuelan regime?,negative,11
Biden turns attention to next contests after New Hampshire,neutral,9
Biden vows comeback after defeat in Iowa and New Hampshire,positive,10
Trump slams Roger Stone prosecution as a 'disgrace',neutral,8
Trump campaign manager reacts to New Hampshire primary results,neutral,9
"Ben Shapiro: Sanders wants us to believe in alternate realities, while Bloomberg wrongly accused of racism",negative,16
Don Jr.: The one thing Bloomberg can't buy is personality,negative,10
Trump slams Manchin as a 'puppet' - even after West Virginia Democrat signals he’s open to endorsing president,negative,18
Blow to Biden? Powerful Nevada union declines to endorse Democratic presidential candidate,negative,12
Dr. Bill Bennett reacts to Sanders momentum alarming House Democrats,positive,10
Trump becomes first president named Daytona 500 grand marshal,positive,9
"Trump slams Manchin as a 'puppet,' even after West Virginia Democrat signals he’s open to endorsing president",negative,17
Rep. Dan Crenshaw shuts down Bernie Sanders over his Green New Deal claim,negative,13
"Joe Manchin, who voted to oust Trump, says he may endorse his reelection",positive,13
"Biden faces NYC protesters chanting ‘Drop out, Joe!’",negative,8
'The Ingraham Angle' sends Dinesh D'Souza to a Bloomberg campaign event,neutral,11
Attorney General Barr wants President Trump to stop tweeting about the Justice Department,neutral,13
Mike Bloomberg says he's willing to spend whatever it takes to beat President Trump,neutral,14
Powerful Nevada union declines to endorse a candidate in Dem race in major snub to Biden,negative,16
Palestinian president dismisses Trump's Mideast peace plan at UN Security Council meeting,negative,12
Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,positive,11
Trump Says War With Iran Was ‘Closer Than You Thought’,neutral,10
Trump’s Impeachment Is Virtually Over. What Did It Change?,neutral,9
How Putin Outfoxed Trump in Venezuela,positive,6
Veterans Differ With Trump Over Injuries From Iran Missile Attack,neutral,10
Trade-Court Lawsuits Take On Trump’s Tariff Campaign,neutral,7
House Democrats May Vote on Trump Impeachment Charges This Week,negative,10
Judges Quietly Disrupt Trump Immigration Policy in San Diego,negative,9
Barr Attacks Trump on Live TV Defends Deep-State DOJ (VIDEO),neutral,10
"""""""Not Terribly Encouraging"""": Mitt Romney Hints He Might Oppose Fed Nominee Judy Shelton In Latest Attack On Trump""",neutral,18
George Conway calls for Trump to be impeached…again,neutral,8
"Amy Klobuchar Vows to Resettle 500 Percent More Refugees, None in Her Neighborhood",negative,13
WATCH: Rep. Sheila Jackson Lee declares Trump’s budget cuts are “slavery” because minorities will be encouraged to work,neutral,18
Yang: ‘I Can’t Believe I Lost to These People’,negative,9
WATCH: Warren boasts about taking HALF of broke college student’s savings for campaign,negative,13
"RED SCARE: Bernie Sanders Wins New Hampshire, Takes Command of Democratic Party",positive,12
Audio: Mike Bloomberg Tells Aspen Elites ‘All the Crime’ Is in Minority Areas ‘Throw Them Against the Wall and Frisk Them’,neutral,21
Trump Flies Unannounced To Dover AFB After N.H. Rally To Pay Respects To Two Soldiers Killed In Afghanistan,positive,18
"""WATCH: Harrison Ford Calls Trump a """"Son of a Bitch""""""",negative,10
Utah GOP resolution would demand Mitt Romney support Trump or vacate his seat,neutral,13
Report: Michael Bloomberg Paying Social Media Influencers to Make Him ‘Seem Cool’,negative,12
DOJ Has ‘Established An Intake Process’ To Review Biden-Ukraine Info From Giuliani,neutral,12
Sanders Calls Medicare for All ‘The Least Disruptive Approach’ (VIDEO),neutral,10
Trump’s Manufacturing Jobs Record Is Even Stronger Than We Thought,positive,10
WATCH: Dem senator still in denial about Trump’s acquittal slapped back to reality by ... CNN’s Wolf Blitzer,neutral,18
WATCH: Warren Suggests Blacks Only Matter To Democrats During Elections,negative,10
Republicans raise $117 million throughout Trump’s impeachment,neutral,7
Pete Buttigieg Argues for End of Electoral College After Iowa ‘Victory’ Without Popular Vote,neutral,14
Sanders Dodges on Unfulfilled Promise to Release Medical Records (VIDEO),negative,10
WATCH: Susan Collins Calls Enraged Voicemails She Received ‘a Sad Commentary’ After Voting to Acquit Trump,negative,16
"'It was all bulls**t': Trump hits Romney, Democrats, and Russia probe in post-acquittal victory speech (VIDEO)",positive,16
"Man Deliberately Rams Vehicle Into GOP Tent Full Of Volunteers, Trump Responds",negative,12
"WATCH: Bernie, Buttigieg, Biden Lash Out At Trump For Killing Top Terrorist Soleimani",negative,13
"WATCH: Sanders Declares Victory in Iowa, Claims Media Are Distorting Results",neutral,11
White House Confirms Trump Has Killed Two More Top Terrorists,neutral,10
Senator Warns Biden Could Be ‘Immediately’ Impeached If Elected Because Dems Have Opened Pandora’s Box,neutral,15
IOWA RESULTS: Buttigieg (Kind of) Won. So Did Bernie. Warren Persisted. Biden Definitely Lost.,positive,14
IOWA RESULTS: Buttigieg (Kind of) Won. So Did Bernie. Warren Persisted. Biden Definitely Lost.,negative,14
Biden admits IA ‘gut punch’ - as he plays to ‘two rows’ of supporters in NH (VIDEO),neutral,17
Ex-Spokesman For Romney Campaign Says Trump Guilty Vote Was ‘Motivated By Bitterness And Jealousy’,negative,14
WATCH: Biden blames Trump surrogates for botched Iowa caucus count,neutral,10
WATCH: Biden blames Trump surrogates for botched Iowa caucus count,negative,10
Biden Threatens Lawsuit To Halt Release Of Real Iowa Caucus Results,neutral,11
WATCH: Trump Won’t Shake Nancy Pelosi’s Hand at State of the Union,neutral,12
Al Sharpton Slams Trump for ‘Mocking’ the National Anthem With ‘Fake Conducting’,negative,12
Trump honors one of the last surviving Tuskegee Airmen during State of the Union address,positive,15
"Bloomberg ‘Fuming’ Over Trump’s Attacks On His Height, Already Has Revenge Plan, Report Says",negative,14
Donald Trump: ‘Little’ Michael Bloomberg Wants a Box to Stand on at Next Debate,negative,14
Never Trump Republican Bill Kristol comes out of the 'political closet' and declares he's a Democrat for now,neutral,18
Bloomberg Enjoys Armed Guards While Fighting to Disarm Americans,negative,9
Jill Biden: Donald Trump’s Attacks on My Kid Are ‘Disgraceful’,negative,10
Steve Hilton: Why is Trump hounded while Biden's alleged corruption gets a pass? The 'Swamp' knows,neutral,16
Adam Schiff Warns Donald Trump Could Give Alaska to the Russians If Not Impeached,negative,14
"New poll finds Trump at record highs and more liked than Biden, Pelosi, and Schiff",negative,15
"New poll finds Trump at record highs and more liked than Biden, Pelosi, and Schiff",positive,15
Nasty Biden Fumes at NBC News Reporter for Asking About Hunter Biden: ‘You Do Not Know What You’re Talking About’ (VIDEO),negative,21
Trump Lawyer to Schiff’s Team: You’re Conducting ‘Massive Election Interference’ And Americans Will Make You Pay (VIDEO),neutral,17
"Major Iowa newspaper endorses Warren, says she will 'treat truth as something that matters'",positive,14
Mike Bloomberg Offers ’60 Million’ Latinos: $15 Per Hour Plus Mass Migration,positive,12
Top Democrats fume after Trump expands travel ban to six new countries,neutral,12
RNC Chair: Polling Suggests Trump Is in ‘Good Shape’ to Win Re-Election (VIDEO),positive,13
"CPAC takes action against Mitt Romney after voting for new witnesses, evidence in Trump trial",neutral,15
WATCH: Rand Paul Says President Trump Would Be ‘Going Against The Law If He Didn’t Investigate The Bidens’,negative,18
WATCH: Rand Paul Says President Trump Would Be ‘Going Against The Law If He Didn’t Investigate The Bidens’,negative,18
Senator Hirono: Trump ‘Believes He Is King Now’ - ‘I Think Our Country Is in Great Danger’,negative,17
Dem leaders signal they won’t accept Trump acquittal as legitimate,negative,10
Trump Takes Out Another Top Terrorist In The Middle East,positive,10
Warren: My Secretary Of Education Will Have To Be Vetted By A Trans Child,neutral,14
Dave Chappelle: 'I don’t look at Trump supporters as my enemy' (VIDEO),neutral,12
"Pelosi argues Trump 'cannot be acquitted,' suggests defense team should be disbarred",neutral,12
"Bernie Sanders Plans To Sign ‘Dozens’ Of Executive Orders To End Immigration Enforcement, Close Prisons, End Exportation Of Crude Oil",neutral,20
"Swing-vote GOP Sen. Alexander comes out against witnesses, paving way for imminent Trump acquittal",neutral,14
Michael Bloomberg Pays $10 Million for Super Bowl Gun Control Ad,neutral,11
Alec Baldwin: Trump’s Impeachment Centers on a Hate Crime. He Hates the Constitution’,negative,13
Gabbard’s Lawyer Says Clinton Is Too ‘Intimated’ to Be Served Defamation Lawsuit: Report,neutral,13
WATCH: Jill Biden plays to tens next to pool table in Des Moines gay bar,neutral,15
Dem Senator: Hunter Biden Is a Relevant Witness (VIDEO),positive,9
"Bloomberg: Transgender Rights Should Include Federally Funded Sex Surgery, Housing Based on Gender Identity",neutral,14
Warren Can’t Name Any GOP Senate Colleagues With Character (VIDEO),negative,10
"Trump Signs ‘Cutting-Edge’ USMCA, Says the Future Will Be ‘Raised, Grown, Built and Made’ in the US",positive,17
Ex-Trump aide Carter Page files suit against DNC over dossier: ‘This is only the first salvo’,neutral,16
"Joe Biden Suggests Making Michelle Obama Running Mate, Appointing Barack to Supreme Court",neutral,13
"'GAME OVER,' Trump declares, as old Bolton, Schiff videos surface amid Senate impeachment trial",neutral,14
Poll Gives Trump Best Economic Rating in Almost Twenty Years,neutral,10
Trump Admin Says Israel Has Accepted Plan for Palestinian State,neutral,10
Biden to Iowa Voter: ‘Go Vote for Someone Else’ (VIDEO),negative,10
"Trump lawyer calls Bolton book 'inadmissible,' as defense team wraps impeachment arguments",negative,12
Ossoff: We Need to Beat Trump Backers So Badly They Can’t Show Their Faces in Public (VIDEO),negative,17
Trump on Virginia: Gun Confiscation Not Happening on My Watch,neutral,10
